"assessmentUid","user.grade","ageMonthsAtTest","org_name","school_type","completed","numAttempted","totalCorrect","runTime"
"EXpsRefHHGWPx2CJGqJ8tOvVEY92",7,168,"Rocky Mountain Prep","public","True",30,21,342.958999872208
"2gx8xVFND2ZVnPxAFnW28osB1V83",6,152,"Woodside","public","True",29,23,309.358999967575
"8ydiPDx7lOUuY05xUz08ftYE8h43",6,160,"Rocky Mountain Prep","public","True",30,10,118.748000144958
"vysgPMSBREenZNb2QiovAsvFhEJ3",6,146,"Rocky Mountain Prep","public","True",30,19,299.011000156403
"iBuXvLDTe0ftyAzMAtZTwl4trTN2",8,164,"Rocky Mountain Prep","public","True",30,22,208.565999984741
"5gsD9Mp2kRdY1bXCeQKPcvPtRff1",8,173,"Woodside","public","True",29,29,176.854000091553
"c3xnNk3LP5SObJ6TYQ6UefAHw8J2",6,143,"Rocky Mountain Prep","public","True",18,13,573.352999925613
"mMVZDuacTPgun14vJLSIRPz8eUz1",7,160,"Rocky Mountain Prep","public","True",30,16,246.332000255585
"OInAQnzeWHdiyVbfsZDmaKjoUsQ2",7,156,"Rocky Mountain Prep","public","True",30,22,322.177000045776
"P8oTMr8nzETnrSDgNsjFd60ImO03",6,145,"Rocky Mountain Prep","public","True",30,12,354.528000116348
"Jvsh8howeoNvm7aPuXINfZLHW1J2",6,153,"Rocky Mountain Prep","public","True",30,6,396.384999990463
"6VlRh3UxtUeXjsgQrbHpw6eQalZ2",10,190,"Rocky Mountain Prep","public","True",30,16,360.569000244141
"5GoXDAthGMRfZyLS4hcsdiBttZ42",10,188,"Rocky Mountain Prep","public","True",30,21,363.651000022888
"XwMy63ztPohkB23wkOXxSuY5ial1",4,114,"Woodside","public","True",29,24,389.988000154495
"6hoR44i4XvRZExniMAwhDL9sFo92",8,176,"Rocky Mountain Prep","public","True",30,13,106.264000177383
"5yRb5KErfVcHcqz5kFO5hlx8oLQ2",11,202,"Rocky Mountain Prep","public","True",30,23,405.118000030518
"gHA9vqIfvxWNWgsV8mDuMAv0nJ32",8,175,"Rocky Mountain Prep","public","True",30,19,253.980000019073
"sZHBTu7zfCaO4QneIxQ2YMQ3AMr1",9,181,"Rocky Mountain Prep","public","True",30,17,505.416000127792
"DwYeXhjLSfgm3RYU1mlnJ5aTnV73",8,173,"Woodside","public","True",29,24,299.393000125885
"KV0SggykpPb31iNYFfJpZcDN4sr1",7,157,"Rocky Mountain Prep","public","True",30,26,424.96799993515
"BLv7sJc134frAkjAhNNRP796u0u1",9,199,"Rocky Mountain Prep","public","True",30,19,387.144000053406
"tCPNyfjLSoQjMIPRCxi6U7XJ8Jd2",9,177,"Rocky Mountain Prep","public","True",30,21,390.302999973297
"o0DN082Rd4SdVOChHK0xHrQGjzH2",7,162,"Woodside","public","True",29,24,212.706000089645
"exrpUYbYHeX1O5XNyM12sbf9ids1",6,158,"Rocky Mountain Prep","public","True",30,7,363.732999801636
"wNtxVQgeLGNWBcxv64i0wpuaSGw2",9,177,"Rocky Mountain Prep","public","True",9,8,647.764000177383
"LgD9vrRllBWlSpU4b3Id619qVgM2",6,148,"Rocky Mountain Prep","public","True",30,22,283.677000045776
"XoVYj23BQoUaNbMWvKNLg2pTOQf1",6,144,"Rocky Mountain Prep","public","True",27,18,516.15700006485
"FUouI1YEwyQQB7kM2DD4e3PsF4i2",7,152,"Rocky Mountain Prep","public","True",30,20,329.313000202179
"Tg3dGd0nZ4OX3YGhsqP5zESX73z2",7,157,"Rocky Mountain Prep","public","True",30,11,339.098999977112
"he3Y1U3b90hWzdT899ea6na4ef33",6,146,"Rocky Mountain Prep","public","True",30,8,97.6410000324249
"Z4D249JrV4cwV3LATQRh3FTdalJ3",10,192,"Rocky Mountain Prep","public","True",30,13,394.111999988556
"wc6FhnclOTbymYvRNhsXxOhoecP2",6,149,"Rocky Mountain Prep","public","True",30,15,219.880000114441
"BNCoJwXAhgeyUNEp5jIpQHLBhBU2",10,195,"Rocky Mountain Prep","public","True",30,13,315.483000278473
"Wt1STFcrgUPIccMJxEJSjDsVp2k2",6,145,"Rocky Mountain Prep","public","True",30,10,367.267999887466
"jtr8qDAVk8b6Mq4G0AU4bE38ni43",6,147,"Rocky Mountain Prep","public","True",30,19,360.190999984741
"jCXl1AO1vma6iXU6qqyylcNKvj92",6,154,"Rocky Mountain Prep","public","True",22,10,557.673999786377
"trCVDwgrrSaltMLSDdzeB2ze8y83",7,163,"Rocky Mountain Prep","public","True",30,21,363.343999862671
"yJVM6eC3XVVGx5UazUoolUNOw4P2",6,149,"Rocky Mountain Prep","public","True",30,24,276.362999916077
"NEBz25veBlaRq7WCs5xhp1fZXAL2",9,183,"Rocky Mountain Prep","public","True",30,12,505.825999975204
"RNVS9yL3FjTcKJo28FVtR73SoOi2",8,164,"Rocky Mountain Prep","public","True",30,21,372.99599981308
"2viGtxm3NrNEgfg457hsOvTweyR2",8,168,"Rocky Mountain Prep","public","True",30,15,402.392999887466
"E2fbJB3lRDd0895vgqHHwf5IgSL2",7,154,"Rocky Mountain Prep","public","True",30,25,334.373000144958
"Ox56N8sxaeZWD9Ig5C5jvyupRAf2",7,163,"Rocky Mountain Prep","public","True",12,9,585.575000047684
"2bV4Oei87if512QQle0IGaGKX7P2",7,155,"Woodside","public","True",29,28,240.057000160217
"hLvael8zZVdFWQ6VnypHBfA7mnm1",7,153,"Rocky Mountain Prep","public","True",30,20,308.197999954224
"PaVcSwqV8VfSO4QCSsJ7YwRxqK82",9,178,"Rocky Mountain Prep","public","True",30,22,373.645999908447
"FI9WKAgwkjWbmtPijfRKcGbkje53",7,162,"Rocky Mountain Prep","public","True",30,24,178.912999868393
"EzuLzdhjqHbUdH0hEFgdreziOLd2",6,146,"Rocky Mountain Prep","public","True",25,10,530.307000160217
"BvH83fOEkWQyz3aROliXLYu4kq32",7,160,"Rocky Mountain Prep","public","True",30,18,275.840000152588
"6JitrykBjdPOxKYQBAd1HPcDLNm2",7,155,"Rocky Mountain Prep","public","True",30,17,390.544999837875
"sfoD8n9ERvYriGj6AbQonNHYxZb2",6,149,"Rocky Mountain Prep","public","True",30,21,441.388000011444
"hK6fT3ICw3eSGMbF3SEs1HiklCW2",7,163,"Rocky Mountain Prep","public","True",30,22,184.030999898911
"b28sIvaqjYdNU8zd8hj0C8pQvbw1",6,159,"Rocky Mountain Prep","public","True",30,19,491.664000034332
"8qHIcL3vGtOx2YpSa1wvtbtwtke2",6,150,"Rocky Mountain Prep","public","True",30,6,122.307000160217
"fLfnOENeseSNYN5MBFRYs73KwMa2",7,160,"Rocky Mountain Prep","public","True",30,11,83.1840000152588
"YKPTjTqvtXcfDtXmV7Gpj8EfWC92",7,160,"Rocky Mountain Prep","public","True",30,19,291.767999887466
"PxHd6L1VuIdcm0FQvyi0eBO8mCm2",6,151,"Rocky Mountain Prep","public","True",30,7,282.212000131607
"7Jcgr5OmSHb7aEsbs7MXMzYRDrI3",4,126,"Woodside","public","True",29,17,395.353000164032
"q1Y2c5FcEeT5YVfYSKHe38d1CAM2",7,161,"Rocky Mountain Prep","public","True",27,15,505.810000181198
"xUr5qikJXGTqhon1OI0S0Lwc8Bl2",10,194,"Rocky Mountain Prep","public","True",30,21,256.350000143051
"0yxbTmGuvbR80qNHqDTh38bkDv73",11,203,"Rocky Mountain Prep","public","True",30,8,300.045000076294
"C7oJTluIuCTV5rEwTwRotXthLvl2",10,199,"Rocky Mountain Prep","public","True",30,4,180.361999988556
"46GLYbjjMKNrqzMfIKETdNOfQVb2",7,164,"Woodside","public","True",29,27,310.240000009537
"Kt1DhqtRU9T98ZBhrwMjWeh92lD2",6,160,"Rocky Mountain Prep","public","True",30,8,181.706999778748
"vs2kCzyFCQd4gbTlFuEGEDoRnYD3",7,161,"Rocky Mountain Prep","public","True",30,23,328.102999687195
"udAEwolo9lVpsckmnVJ9At6Nhwx1",10,210,"Rocky Mountain Prep","public","True",30,12,436.1890001297
"3lZeXOkaUAb1piKl3EO6bddmv8w2",6,148,"Rocky Mountain Prep","public","True",30,12,324.436000108719
"NpbqVapz8KURdZEo29X0MtCPwHu1",7,161,"Rocky Mountain Prep","public","True",22,9,533.440999984741
"2YdgmZae4aWQSoKkLw7C1LhFaKY2",10,193,"Rocky Mountain Prep","public","True",30,23,371.138000011444
"tKId0xrexsQANUvUX3ZlbNNvMWD3",7,152,"Rocky Mountain Prep","public","True",30,17,269.651999950409
"W2OBe9821tS8E7Wu09WNaYVTOtW2",3,108,"Woodside","public","True",29,16,513.596999883652
"zvH0TWzW01gSxPk0jknYLytoulG2",10,199,"Rocky Mountain Prep","public","True",30,24,398.434000015259
"pHYK1AdjZRhytjDQTBaGDsvH0IK2",6,149,"Rocky Mountain Prep","public","True",18,10,713.407999992371
"uPE7ezfApYVTOet1yfpgcwVQXFk1",7,153,"Rocky Mountain Prep","public","True",30,7,365.786999940872
"jh8zzBNjwEXiKMlxFy680thk0Jn1",6,145,"Rocky Mountain Prep","public","True",22,8,514.4359998703
"vLluGyXxK1YzGqw45YZ6RY3xcXh1",9,192,"Rocky Mountain Prep","public","True",30,18,297.506000041962
"i5rwm3PlxVeA3XuQFbSsjBavIC63",6,156,"Rocky Mountain Prep","public","True",25,8,527.217000007629
"UOhjPPf1GadmzpDJGvKFV8r0tPG3",7,152,"Rocky Mountain Prep","public","True",30,24,493.374000072479
"kvZeNNmyp9PKz1N0PCDUuhOElIA2",10,199,"Rocky Mountain Prep","public","True",26,19,568.680999994278
"1lDBJJGFUHWMVsqnnYH9MwwbhdR2",7,163,"Rocky Mountain Prep","public","True",30,26,248.299999952316
"4jiB3UYC2VUhovcqTvCCrg5Pe382",6,150,"Rocky Mountain Prep","public","True",30,23,340.192000150681
"ET6T13OnkzdFZCS4EjcSzjPCQKW2",6,149,"Rocky Mountain Prep","public","True",30,22,303.243000030518
"XvQd3mCPcIe28Wd9yBq7B2j5y1f2",3,114,"Woodside","public","True",29,20,463.367000102997
"hUHmOl94M0RTGEcgt2PlZZphgd22",3,107,"Woodside","public","True",29,5,220.165999889374
"RH7aPudBCJU2mU8eUgXTayafgU52",6,148,"Rocky Mountain Prep","public","True",30,12,479.809000015259
"JyDz6YatcvNxWMtFzelUpgLHUlw1",6,141,"Rocky Mountain Prep","public","True",30,16,333.06800031662
"x3kBSrAWBfa5gi1fxk3qrw1j4f93",6,144,"Rocky Mountain Prep","public","True",30,18,437.093999862671
"hw3IBuuwF2M2OdHP6wwaR97pm5v1",7,155,"Rocky Mountain Prep","public","True",30,18,402.958999872208
"A47Zfm21neYQw48suksYg9pP1UY2",6,151,"Rocky Mountain Prep","public","True",30,23,306.029000282288
"GCpkRAzUehhlyj6Z0eISElgPc452",7,153,"Rocky Mountain Prep","public","True",30,26,201.320000171661
"rpZA9Rh7FdTZwBWzpQfAY5LuhDk2",6,141,"Rocky Mountain Prep","public","True",30,6,422.209000110626
"j8F6WkwSOlXKUhRgxQgTzGABv5D3",10,193,"Rocky Mountain Prep","public","True",23,20,588.952000141144
"LyJ6iQTzV0PMyX1kHZAQgzRXZk73",6,145,"Rocky Mountain Prep","public","True",11,3,536.038000106812
"6TS8yBBLzpSIpVx8MhtBxnchExQ2",6,157,"Rocky Mountain Prep","public","True",30,20,373.223000049591
"9t2banMNxLY6GTCyvX2PdcnuoC73",7,152,"Rocky Mountain Prep","public","True",30,20,259.073999881744
"eVcwfU3AjhczqrUO1THRwU24xTk1",7,156,"Rocky Mountain Prep","public","True",30,22,338.869000196457
"02lDCRZuxUZDhgZ03sS0IZa3DjA3",8,167,"Rocky Mountain Prep","public","True",30,22,260.831000089645
"ZaagiyMu35OE9QQirWE6tGNotSy2",10,200,"Rocky Mountain Prep","public","True",8,4,594.990999937057
"POMGY64qYEOwL3tmj8i51drhQf13",7,157,"Rocky Mountain Prep","public","True",30,25,390.028000116348
"CusX4SlwiZT3zj4Y1x2XYJ1mheH2",6,151,"Rocky Mountain Prep","public","True",30,26,301.506000041962
"PFJG9aF2NKdWGe95emsVkpHIbfz2",6,150,"Rocky Mountain Prep","public","True",14,8,566.425000190735
"LYrSh0ubQPMXw85U455Xu7PvxRq1",11,212,"Rocky Mountain Prep","public","True",30,17,219.427000045776
"4qnXP60vD3XK7NovO1f0GUHbTww2",6,142,"Rocky Mountain Prep","public","True",30,21,391.154999732971
"nSuR6uG8w1Pg6syIeGFqaYInDGp1",6,145,"Rocky Mountain Prep","public","True",30,9,234.964999914169
"n29Y09g6ynNW6CfVtCZZ4jCPC0v1",8,165,"Rocky Mountain Prep","public","True",30,18,297.317000150681
"ABFH7XSBGHNOdDwmghLAQr26wXl1",6,139,"Woodside","public","True",29,21,243.052999973297
"bptQXXLbueePdtqp1DyyD5Xiyml1",9,180,"Rocky Mountain Prep","public","True",26,10,531.078000068665
"2yn2jQ6umTbys8xvpMKLOOnWYzZ2",8,165,"Rocky Mountain Prep","public","True",30,23,356.05999994278
"CZRWbPxY3VhtO5itYS0yVq79mur1",8,172,"Rocky Mountain Prep","public","True",30,8,125.959000110626
"ZtorAGHvyOS0mbG3GCC0XnRCP2o2",8,167,"Woodside","public","True",29,29,211.980000019073
"nkznROl4WKd9VsxAK6PyclcOizh1",7,158,"Rocky Mountain Prep","public","True",30,6,100.611000061035
"PK0uUjdr4HUht2qu2kZvNIxFh8L2",5,135,"Woodside","public","True",29,24,299.94000005722
"UUXX98d6l5R8KufZzPWpfJrvRz53",6,154,"Rocky Mountain Prep","public","True",15,6,513.269000053406
"9UsxAs9OCGV8vQo5clDqyySUhv43",7,164,"Rocky Mountain Prep","public","True",30,24,499.754999876022
"FP2bOWbO2WW0PktN9xFRBI3lpXF3",10,198,"Rocky Mountain Prep","public","True",30,21,256.649000167847
"MjP4GRRObobbnvxKKL6BzTJTFMF3",5,133,"Woodside","public","True",29,23,666.547000169754
"1soS5STOTaZLkPrpKn1WuRxz7Oq1",7,152,"Rocky Mountain Prep","public","True",20,9,535.049000263214
"N4gJ0kBbYaW4hZLXfJbkKqLq70u1",8,161,"Rocky Mountain Prep","public","True",26,15,547.493999958038
"SheNXflCrMW5TbdSzpAMb6Wc8aA3",6,147,"Rocky Mountain Prep","public","True",30,17,418.772999763489
"bKUeQ03QX3NKDDvws7I4A6FgsHS2",3,108,"Woodside","public","True",29,11,270.138000011444
"x94FlMmQ1rc0wjTAT2dCz4V5uKI3",8,177,"Woodside","public","True",29,27,333.506999969482
"XgbTiyaZRvWT3TKkEP85dbF2T0i1",7,159,"Rocky Mountain Prep","public","True",30,24,291.447999954224
"J6m4wpCcsTMCCmWCP83B5g6i85U2",6,145,"Rocky Mountain Prep","public","True",30,12,195.674999713898
"YI61Lz0zgoQL55Ti7t5OAjViZOv2",7,160,"Rocky Mountain Prep","public","True",30,28,262.316999912262
"DTtmQfUmh2bulGvVfEKgXs3mbbs2",7,153,"Rocky Mountain Prep","public","True",11,6,534.498000144958
"24sxCzHU82fR4RAj3TbCnPOqxre2",7,157,"Rocky Mountain Prep","public","True",30,16,354.003000020981
"VuW3CPXvDyQCJHtsPEZVswm2k5p2",9,198,"Rocky Mountain Prep","public","True",27,19,518.026000022888
"hSUBiAKUxKeLJMsQDfLsA5XZ9Yj2",10,200,"Rocky Mountain Prep","public","True",30,25,412.844000101089
"Pg83HoynnnfGMlwyQnibaPhNPHm1",6,140,"Rocky Mountain Prep","public","True",30,16,470.828000068665
"j0NpcVjyh5aTPv8E4lUp59Dw7kF2",6,143,"Woodside","public","True",29,28,252.3140001297
"6h7ZFyS6YwPz5QJvZF9une9PE5f1",8,169,"Rocky Mountain Prep","public","True",30,11,379.861000061035
"a2pnIpgBQQRi9aWJKVEZlTwXAil2",8,164,"Rocky Mountain Prep","public","True",30,20,501.644999980927
"0OwheyaVs7UVcFnSAEUnokYyHA23",6,148,"Woodside","public","True",29,19,179.561000108719
"WCDHJ8PO6qWhCmEDFwLcC5dZum82",7,165,"Rocky Mountain Prep","public","True",16,6,541.936999797821
"DP5gQSldVdSM3J4TXTPDsaelokl1",6,144,"Rocky Mountain Prep","public","True",30,8,171.294000148773
"fP5OBT5bBMSqPHrPhEz20ZNR4ZD3",7,156,"Woodside","public","True",29,7,197.223999977112
"J6PuD7xnnbeIM1jK8mQ6dWG3g3h2",7,156,"Rocky Mountain Prep","public","True",27,18,501.375999927521
"xGLKf3pcOdfBxnEixfgkJeEVaKO2",10,196,"Rocky Mountain Prep","public","True",30,19,387.561999797821
"OFidQis6g5dxU8aQCbJ0Ie6YlJx1",8,171,"Rocky Mountain Prep","public","True",5,5,541.390000104904
"e5FTRtxP4NOLyfI6UJB4dB1CMWO2",7,162,"Rocky Mountain Prep","public","True",30,23,271.733000278473
"SDjtZL8hLaVZ3cq0glqk4PpejaG3",8,171,"Rocky Mountain Prep","public","True",30,20,346.626999855042
"bNHDQoygovUlS7xzdERpp1GAwwt1",5,136,"Woodside","public","True",29,28,246.540999889374
"974xuVcbpgNjXEoOfGQ58MyQ6Fv1",7,173,"Rocky Mountain Prep","public","True",12,2,524.05999994278
"ZYzN7iyLF6SAweGE9p9iagK9nT33",7,160,"Rocky Mountain Prep","public","True",30,27,340.65700006485
"sZESCyHwUdei15oI6aJeJFmRTQt1",6,144,"Rocky Mountain Prep","public","True",30,8,307.008000135422
"tZOeCrTAP2e33GDHIzq9qyCvYIA3",6,154,"Rocky Mountain Prep","public","True",30,22,341.1859998703
"G1H7EOZNTIYUfy9rhsdjc3xP3853",11,208,"Rocky Mountain Prep","public","True",16,11,596.125
"lr0mYXi8wTXY9mwfqmC0CmZ2MaF3",7,159,"Rocky Mountain Prep","public","True",30,14,240.025000095367
"WSPHRh6hYBMjqGFeMgUed0PvqAE2",8,174,"Rocky Mountain Prep","public","True",30,19,292.381999969482
"fufMPrqrtHRlrkmXyRg12IcYgWt2",7,161,"Rocky Mountain Prep","public","True",19,6,541.803999900818
"kEws5RfLTbXkzC9wzMzEpvaplu53",7,155,"Rocky Mountain Prep","public","True",30,25,373.410999774933
"GVRrtKld36ep5sjpWUNr6tJN0E83",6,142,"Rocky Mountain Prep","public","True",6,5,1593.61199998856
"qkNxsxTD9ScztAmsTTIMopWGOyr2",5,130,"Woodside","public","True",29,9,287.878000020981
"907yAPw3AZTuZmJ2W1LjW0HtWIJ3",8,172,"Rocky Mountain Prep","public","True",30,8,97.5260000228882
"PDr7w7gHqHfS4Iv7khAfTK3UX7A3",6,148,"Rocky Mountain Prep","public","True",11,8,585.517999887466
"F9ghjYuU3IbC9ilDtM5AgRJYcgt2",6,155,"Rocky Mountain Prep","public","True",30,16,518.116999864578
"qa4Vdi0UAMMVEvsUARoM6euevZx2",8,169,"Woodside","public","True",29,26,218.929000139236
"f8mH4maauGOKphqnucftNJ57BKD3",10,194,"Rocky Mountain Prep","public","True",30,23,175.575000047684
"f23IwFxP2EYANo8HP6r8rl4KgTt2",9,189,"Rocky Mountain Prep","public","True",30,24,237.365000247955
"ORTDMRHoJbXNNZnBiw3CrtXjeuu2",4,115,"Woodside","public","True",29,23,387.035000324249
"Pg0uskrXPjMFkWP1vABb9wotlYh2",7,160,"Woodside","public","True",29,26,338.914000034332
"Q23L8PXfiLNajr7o61t3EZV4R5u1",6,140,"Rocky Mountain Prep","public","True",30,9,93.3330001831055
"7iAFrsYzphhmoY4V8HsTqQeCyuX2",6,146,"Rocky Mountain Prep","public","True",30,19,216.864000082016
"oZkVpeKCBZa3G2Z483iwtAhQoZD2",7,158,"Rocky Mountain Prep","public","True",30,8,509.226999998093
"XxzzcJdHzMSh8qiTgr0QJaLTiw13",5,131,"Woodside","public","True",29,27,392.789999961853
"koQ5hfvsg7TL22OxTFKPNdWmN4O2",8,170,"Rocky Mountain Prep","public","True",30,15,294.271000146866
"4QIpIt74X2RhlKWV2c0i7tRKh4q2",7,160,"Rocky Mountain Prep","public","True",30,24,225.615999937057
"akFk5yiZ0KXHOEmOKhOPpuUvdF93",7,160,"Rocky Mountain Prep","public","True",30,20,386.891999959946
"NFK1Y3Vkk5TWkhJEDepYatpF8gf1",7,154,"Rocky Mountain Prep","public","True",30,25,335.871000051498
"lfofBtTsSYNkvBUTUmD7aBnPRVC3",10,189,"Rocky Mountain Prep","public","True",25,18,516.744999885559
"JnozkNXbqNVPmOsMIkhn0muhMjr1",8,173,"Woodside","public","True",29,15,230.6890001297
"shbxzkTJI4c5tOWrkdp7o47Vgtx1",7,160,"Rocky Mountain Prep","public","True",19,9,597.696000099182
"waprPsBafyaZ1htulgTii7JDiLE2",7,150,"Rocky Mountain Prep","public","True",30,25,322.966999769211
"OQ3OMwaSg6d5h2Hnt2mRWYjd1Wk1",8,174,"Rocky Mountain Prep","public","True",30,25,363.838999986649
"eXurFlbp8eTsRoNeJLlKmVpTsgF3",6,147,"Rocky Mountain Prep","public","True",30,25,325.325000047684
"p6Id18iEn6hbY9Y0Pig1EljfWc32",7,158,"Rocky Mountain Prep","public","True",30,24,484.294000148773
"8EljPyHbq8SL5aUzDQnzIbS3pQ83",8,170,"Rocky Mountain Prep","public","True",25,11,580.53600025177
"4HecXSSlJaU6oGSR9UlX8CJrVqi2",6,151,"Rocky Mountain Prep","public","True",30,14,194.480000019073
"WtV4udtWlSVN4xbLk4ATmF5Ah4k2",3,113,"Woodside","public","True",29,17,219.172000169754
"Reft6CuxVoeLwVelhjYHp8etb5A2",8,176,"Rocky Mountain Prep","public","True",12,7,546.919000148773
"n8BnzjYuHaOq8vVQ0s3bosLfUa83",8,167,"Rocky Mountain Prep","public","True",30,6,312.731000185013
"7ocMhPae5PdSoUXh2oVR3hIcNMB2",7,160,"Rocky Mountain Prep","public","True",30,20,360.725000143051
"liSfMCQmsSfhhgpf7FRADHIOLur2",6,140,"Rocky Mountain Prep","public","True",30,8,438.456000089645
"32zWydFHnKRovcVxi9nTtchgUpm1",9,178,"Rocky Mountain Prep","public","True",30,13,274.523000001907
"HbkfmyM8JbWVZVnHEO4L3rVP8P62",6,150,"Rocky Mountain Prep","public","True",30,20,491.272999763489
"cf9zbADxX8UxWNVf5pEdOrMed6G2",9,185,"Rocky Mountain Prep","public","True",30,22,282.446000099182
"v7YEVVFpmveCXVPA7haN3UUkN0A3",7,161,"Rocky Mountain Prep","public","True",30,26,255.962999820709
"AiFpPst4YBXtIVtEDfW5IpOL3r33",6,146,"Rocky Mountain Prep","public","True",28,20,502.592000007629
"NuqD1gNCoXNkMl12PBUtlbR2AqC3",7,162,"Rocky Mountain Prep","public","True",30,26,287.807000160217
"GBLa39rpvoOvmgmtYppjXvlt0u02",3,116,"Woodside","public","True",29,23,714.394000053406
"mRr4OZw4YZOQkUsrFM7O2SdvZim1",6,142,"Rocky Mountain Prep","public","True",30,21,456.655999898911
"qBx5dTzAHHN64WgNnzoa7eYOKTb2",6,140,"Rocky Mountain Prep","public","True",30,11,256.611000061035
"vkKrGuvmo4NKtBz2o7ba4RxIqq92",6,151,"Rocky Mountain Prep","public","True",30,27,304.945999860764
"3yvYnvyv9vVvQZOqqWdL8lkNgVA3",8,172,"Rocky Mountain Prep","public","True",30,24,312.920000076294
"niweN77f9yfGXsF17si0u6HjxCG3",11,208,"Rocky Mountain Prep","public","True",30,25,362.044000148773
"PGIPc9VW4URS7k3U1djFQZ6T31Y2",7,159,"Rocky Mountain Prep","public","True",30,22,341.661999702454
"GJ7BBe49d7NSgTZuSGXBnG7Hf4C3",10,200,"Rocky Mountain Prep","public","True",14,10,558.053999900818
"EJlxP6JxjsOTVo0yz86hSXssVsA3",7,163,"Rocky Mountain Prep","public","True",30,7,101.425999879837
"cAlBC7RwbbgzUI2WTTXSrIJbUyY2",7,158,"Rocky Mountain Prep","public","True",30,15,256.076999902725
"baAi5EElssVTr1mqllqt8cMzFBz2",8,172,"Rocky Mountain Prep","public","True",30,20,311.15499997139
"LgGirBsjysen7Ezzg42owMiMDV53",7,157,"Rocky Mountain Prep","public","True",12,7,531.72400021553
"XJdPHvJaJfdldBPFktQjAni9qrx1",11,208,"Rocky Mountain Prep","public","True",30,17,259.151999950409
"HtcYgl8SUTee21OAASJchaUKcbJ2",11,221,"Rocky Mountain Prep","public","True",30,16,337.245000123978
"VpBBdsiafegrvovuiCJJhSswYVH3",6,142,"Rocky Mountain Prep","public","True",30,20,269.052999973297
"AtMPiBmNF6MIX2n3X3lufy2C2pN2",3,106,"Woodside","public","True",29,22,259.085999965668
"DJDCvyqEqIZWeTvyGZS4VgGMyDS2",4,117,"Woodside","public","True",29,19,364.292999744415
"4woH3niBmQVzp3ciKwGcfg0rZEG3",9,198,"Rocky Mountain Prep","public","True",18,7,572.660999774933
"Gmg0bWby3LMonALg3tP5G8O78dJ2",7,157,"Rocky Mountain Prep","public","True",30,7,124.417000055313
"nDUrtMxuR5X5xHIJgEFcruJ0EZo2",8,172,"Rocky Mountain Prep","public","True",30,8,123.144000053406
"KuvlcJdJpsR4SvzyUPB2XccE9S32",6,147,"Rocky Mountain Prep","public","True",30,19,260.517999887466
"viK69Z0sHEM8fJE9TDlsnnrwNyc2",6,146,"Rocky Mountain Prep","public","True",30,15,259.31500005722
