inum,formAndId,item,decorated,target,distractor1,distractor2,distractor3
i.62,a-5-6-9,The road will be blocked off during the construction of the library.,construction,building,organization,creation,preparation
i.63,a-5-6-6,The manager has the authority to hire new workers when they are needed.,authority,power,budget,plan,sense
i.64,a-5-6-1,The conflict between the two players is starting to cause problems on the team.,conflict,disagreement,association,communication,cooperation
i.65,a-5-6-13,"He is very critical about his own work, even when his coworkers praise him. ",critical,negative,exact,particular,careful
i.66,b-5-6-5,There is a potential problem with that idea.,potential,possible,minor,basic,obvious
i.67,b-5-6-15,"When making a birdhouse, you must take precise measurements.",precise,exact,direct,various,many
i.68,b-5-6-14,The distribution of candy is a traditional part of Halloween in the U.S.,distribution,giving,buying,eating,collecting
i.69,a-5-6-18,A change in climate can have permanent effects on an area’s wildlife.,permanent,lasting,natural,harmful,limited
i.70,a-3-4-3,He studied every night to improve his grades.   ,improve,raise,choose,settle,learn
i.71,a-5-6-19,The law was approved through a vote in Congress.,approved,accepted,reversed,replaced,restricted
i.72,a-3-4-1,Food and other items made with natural things break down and become part of the soil.,items,objects,resources,terms,forms
i.73,a-5-6-7,The visiting teacher gave a formal speech before answering questions from the students.,formal,proper,brief,fine,public
i.74,a-5-6-10,"Without sufficient darkness, it can be difficult to get to sleep.",sufficient,enough,complete,constant,normal
i.75,a-3-4-10,Many cities have available space where people can plant gardens.,available,free,whole,total,main
i.76,a-3-4-20,They had the opportunity to learn about sea life when they visited the ocean.,opportunity,chance,knowledge,place,example
i.77,b-5-6-7,The car's distinct color made it easy to find in a crowded parking lot.,distinct,unique,pure,bright,faded
i.78,a-3-4-18,"Their clock needed to be accurate, if they were to be on time for the plane.",accurate,correct,careful,complete,clear
i.79,a-5-6-2,The university was established in 1893 and is now one of the best in the country.  ,established,started,destroyed,discovered,bought
i.80,b-5-6-19,The couple adopted a child who lost his parents in an accident.,adopted,selected,considered,approached,involved
i.81,b-5-6-19m,The family adopted a kitten that needed a new home.,adopted,selected,considered,approached,involved
